Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,1.7700000000000002,21.24,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),Lambda_2,AWS Lambda,0,0,0.00,USD,,"Invoke Mode (Buffered), Architecture (x86), Architecture (x86), Number of requests (140 per month), Amount of ephemeral storage allocated (4000 MB)"
My Estimate,US East (N. Virginia),Lambda_3,AWS Lambda,0,0,0.00,USD,,"Invoke Mode (Buffered), Architecture (x86), Architecture (x86), Number of requests (140 per month), Amount of ephemeral storage allocated (1500 MB)"
My Estimate,US East (N. Virginia),Input Bucket,S3 Standard,0,0.39,4.68,USD,,"S3 Standard storage (10 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (120), GET, SELECT, and all other requests from S3 Standard (120), Data scanned by S3 Select (60 GB per month), Data returned by S3 Select (60 GB per month)"
My Estimate,US East (N. Virginia),Input Bucket,Data Transfer,0,0,0.00,USD,,"DT Inbound: Internet (60 GB per month), DT Outbound: Not selected (0 TB per month)"
My Estimate,US East (N. Virginia),Output_bucket,S3 Standard,0,0.4,4.80,USD,,"S3 Standard storage (6 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (120), GET, SELECT, and all other requests from S3 Standard (1000), Data returned by S3 Select (30 GB per month), Data scanned by S3 Select (120 GB per month)"
My Estimate,US East (N. Virginia),Output_bucket,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),Event_Bridge,Amazon EventBridge,0,0.000024,0.00,USD,,"Size of the payload (1 KB), Number of custom events (120 per month), Number of invocations (120 per month)"
My Estimate,US East (N. Virginia),SES,Amazon Simple Email Service (SES),0,0.28,3.36,USD,,Email messages sent from email client (1000 per month)
My Estimate,US East (N. Virginia),SNS,Standard topics,0,0.28,3.36,USD,,"Requests (120 per month), HTTP/HTTPS Notifications (100000 per month), EMAIL/EMAIL-JSON Notifications (15000 per month), SQS Notifications (15000 per month), Amazon Web Services Lambda (10 million per month)"
My Estimate,US East (N. Virginia),Lambda_1_Zip,AWS Lambda,0,0,0.00,USD,,"Architecture (x86), Architecture (x86), Invoke Mode (Buffered), Amount of ephemeral storage allocated (4000 MB), Number of requests (120 per month)"
My Estimate,US East (N. Virginia),Athena,Amazon Athena,0,0.35,4.20,USD,,"Total number of queries (120 per day), Amount of data scanned per query (20 MB)"
My Estimate,US East (N. Virginia),Crawler for Schema,AWS Glue Data Catalog storage requests,0,0,0.00,USD,,Number of Objects stored ( million per month)
My Estimate,US East (N. Virginia),Crawler for Schema,AWS Glue Crawlers,0,0.07,0.84,USD,,Number of crawlers (1)
My Estimate,US East (N. Virginia),Lambda_4_API,AWS Lambda,0,0,0.00,USD,,"Architecture (x86), Architecture (x86), Invoke Mode (Buffered), Amount of ephemeral storage allocated (4000 MB), Number of requests (120 per month)"
My Estimate,US East (N. Virginia),API_Gateway,Amazon API Gateway,0,0,0.00,USD,,"HTTP API requests units (millions), Average size of each request (34 KB), REST API request units (thousands), Cache memory size (GB) (None), WebSocket message units (thousands), Average message size (32 KB), Requests (1 per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
